ID,LAT,LON,JAM,KLOROFIL,TEMP,KEC.ANGIN,ARAH,LEMBAB,TG GLOMBANG,TG SIG,PERIODE GEL,SPL,CUACA,POSISI
A,-8.124491,110.287628,2:11,77,29,17,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
B,-8.05787,110.052795,2:11,137,29,17,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
C,-8.341953,110.65155,2:11,182,29,17,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
D,-8.545714,111.036072,2:11,189,29,19,W,73,1.1,1.0,13.2,29,"Partly cloudy",target
E,-8.657057,111.30249,2:11,194,29,19,W,73,1.1,1.0,13.2,29,"Partly cloudy",target
A,-8.124491,110.287628,2:41,77,29,17,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
B,-8.05787,110.052795,2:41,137,29,17,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
D,-8.545714,111.036072,2:41,189,29,19,W,73,1.1,1.0,13.2,29,"Partly cloudy",target
C,-8.341953,110.65155,2:41,182,29,17,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
E,-8.657057,111.30249,2:41,194,29,19,W,73,1.1,1.0,13.2,29,"Partly cloudy",target
A,-8.124491,110.287628,3:12,77,29,17,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
B,-8.05787,110.052795,3:12,137,29,17,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
D,-8.545714,111.036072,3:12,189,29,20,W,74,1.1,1.0,13.2,29,"Partly cloudy",target
C,-8.341953,110.65155,3:12,182,29,17,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
E,-8.657057,111.30249,3:12,194,29,20,W,74,1.1,1.0,13.2,29,"Partly cloudy",target
A,-8.124491,110.287628,3:42,77,29,17,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
E,-8.657057,111.30249,3:42,194,29,20,W,74,1.1,1.0,13.2,29,"Partly cloudy",target
B,-8.05787,110.052795,3:42,137,29,17,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
D,-8.545714,111.036072,3:42,189,29,20,W,74,1.1,1.0,13.2,29,"Partly cloudy",target
C,-8.341953,110.65155,3:42,182,29,17,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
A,-8.124491,110.287628,4:13,77,29,18,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
B,-8.05787,110.052795,4:13,137,29,18,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
E,-8.657057,111.30249,4:13,194,29,21,WNW,74,1.1,1.0,13.2,29,Clear,target
D,-8.545714,111.036072,4:13,189,29,21,WNW,74,1.1,1.0,13.2,29,Clear,target
C,-8.341953,110.65155,4:13,182,29,18,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
A,-8.124491,110.287628,4:43,77,29,18,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
B,-8.05787,110.052795,4:43,137,29,18,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
C,-8.341953,110.65155,4:43,182,29,18,W,73,1.1,1.0,13.2,29,"Patchy rain possible",target
E,-8.657057,111.30249,4:43,194,29,21,WNW,74,1.1,1.0,13.2,29,Clear,target
D,-8.545714,111.036072,4:43,189,29,21,WNW,74,1.1,1.0,13.2,29,Clear,target
A,-8.124491,110.287628,5:13,77,29,18,W,74,1.1,1.0,13.2,29,"Patchy rain possible",target
E,-8.657057,111.30249,5:13,194,29,22,WNW,75,1.1,1.0,13.2,29,"Partly cloudy",target
C,-8.341953,110.65155,5:13,182,29,18,W,74,1.1,1.0,13.2,29,"Patchy rain possible",target
D,-8.545714,111.036072,5:13,189,29,22,WNW,75,1.1,1.0,13.2,29,"Partly cloudy",target
B,-8.05787,110.052795,5:13,137,29,18,W,74,1.1,1.0,13.2,29,"Patchy rain possible",target
A,-8.124491,110.287628,5:44,77,29,18,W,74,1.1,1.0,13.2,29,"Patchy rain possible",target
B,-8.05787,110.052795,5:44,137,29,18,W,74,1.1,1.0,13.2,29,"Patchy rain possible",target
D,-8.545714,111.036072,5:44,189,29,22,WNW,75,1.1,1.0,13.2,29,"Partly cloudy",target
E,-8.657057,111.30249,5:44,194,29,22,WNW,75,1.1,1.0,13.2,29,"Partly cloudy",target
C,-8.341953,110.65155,5:44,182,29,18,W,74,1.1,1.0,13.2,29,"Patchy rain possible",target
A,-8.124491,110.287628,6:14,77,29,19,WNW,74,1.1,1.0,13.2,29,Sunny,target
B,-8.05787,110.052795,6:14,137,29,19,WNW,74,1.1,1.0,13.2,29,Sunny,target
C,-8.341953,110.65155,6:14,182,29,19,WNW,74,1.1,1.0,13.2,29,Sunny,target
E,-8.657057,111.30249,6:14,194,29,22,WNW,76,1.1,1.0,13.2,29,Sunny,target
D,-8.545714,111.036072,6:14,189,29,22,WNW,76,1.1,1.0,13.2,29,Sunny,target
A,-8.124491,110.287628,6:45,77,29,19,WNW,74,1.1,1.0,13.2,29,Sunny,target
B,-8.05787,110.052795,6:45,137,29,19,WNW,74,1.1,1.0,13.2,29,Sunny,target
E,-8.657057,111.30249,6:45,194,29,22,WNW,76,1.1,1.0,13.2,29,Sunny,target
D,-8.545714,111.036072,6:45,189,29,22,WNW,76,1.1,1.0,13.2,29,Sunny,target
C,-8.341953,110.65155,6:45,182,29,19,WNW,74,1.1,1.0,13.2,29,Sunny,target
A,-8.124491,110.287628,7:15,77,29,19,WNW,75,1.1,1.0,13.1,29,"Patchy rain possible",target
C,-8.341953,110.65155,7:15,182,29,19,WNW,75,1.1,1.0,13.1,29,"Patchy rain possible",target
B,-8.05787,110.052795,7:15,137,29,19,WNW,75,1.1,1.0,13.1,29,"Patchy rain possible",target
E,-8.657057,111.30249,7:15,194,29,22,WNW,76,1.1,1.0,13.2,29,"Partly cloudy",target
D,-8.545714,111.036072,7:15,189,29,22,WNW,76,1.1,1.0,13.2,29,"Partly cloudy",target
A,-8.124491,110.287628,7:46,77,29,19,WNW,75,1.1,1.0,13.1,29,"Patchy rain possible",target
E,-8.657057,111.30249,7:46,194,29,22,WNW,76,1.1,1.0,13.2,29,"Partly cloudy",target
B,-8.05787,110.052795,7:46,137,29,19,WNW,75,1.1,1.0,13.1,29,"Patchy rain possible",target
D,-8.545714,111.036072,7:46,189,29,22,WNW,76,1.1,1.0,13.2,29,"Partly cloudy",target
C,-8.341953,110.65155,7:46,182,29,19,WNW,75,1.1,1.0,13.1,29,"Patchy rain possible",target
